Country Name;Country Code;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Bahrain;BHR;97,09654999;96,81533051;95,7937088;96,67057037;96,4519577;99,27754974;101,7882385;96,42014313;91,63111115;89,19667816;88,61576843;88,73767853;;91,34272003;92,03122711;92,0959725;94,53557034;99,2605925;107,7708792;104,9441327;100,7926528;100,9623531;101,6638189;100,9069152;101,9911731;;;106,4660089;101,9165727;97,57344721
Bahamas, The;BHS;92,28994751;;100,326088;;83,49624634;;;96,3615799;;85,68070984;86,68477631;87,02783966;90,92971039;90,23686981;89,97118378;93,33938197;90,58002617;95,06427021;87,40395014;93,37096962;77,0907579;86,54078185;94,63722397;84,28355044;80;;74,03726708;;95,18230723;80,94433039
Bosnia and Herzegovina;BIH;;;;;;;;;;;;;82,08638763;86,24334717;88,11625671;86,81397247;89,17192078;92,27252197;94,07823944;92,19921112;87,66565704;85,06802368;85,61588287;87,80497742;87,57720184;87,7414093;87,8970108;89,25509644;90,4367218;
Belarus;BLR;;;;86,42166901;;;;;;;;;;113,9247894;111,873642;109,2124993;107,1135958;105,7276329;103,164487;102,5516718;102,2111213;102,0123392;101,5835427;100,837961;99,90481975;99,93089108;99,85145688;97,78283295;97,18437256;95,07677564
Belize;BLZ;68,04931641;;;;66,88565826;69,64411926;71,50022888;;77,12786102;79,16488647;76,46721649;77,70986176;77,45406342;77,76101685;77,41536713;78,36414048;78,60712339;80,22189415;82,74994482;82,73001179;82,87893893;88,94839128;87,38191223;88,36414008;88,4514779;87,85054945;90,11869962;89,0278593;84,5732792;87,42329873
Bermuda;BMU;;;;;;;90,8878479;90,66358185;92,71623993;95,53972626;93,51331329;87,47177887;;;;97,60131836;96,23745728;94,1572113;92,52610016;91,63822937;92,79399109;;;;;;;;79,97306061;
Bolivia;BOL;;;;;;70,1280365;73,21198273;78,06446075;80,80719757;83,81027222;85,27240753;84,95202637;84,89775085;84,6359787;83,54692841;87,5005794;85,44636135;86,90541535;88,58717126;89,13040816;89,97406733;89,79636173;88,51993363;87,860357;88,03043727;88,40479728;90,19260695;90,3370507;91,28831972;
Brazil;BRA;;;;;;;;;;;;;;;;;;97,90802002;107,2829285;106,1211929;103,753479;104,7661209;104,6052704;106,6337204;106,0281067;106,5199203;110,2274399;108,7839279;;
Barbados;BRB;;;;;111,7950287;108,7968674;107,7654724;107,3241806;107,5018082;108,0838013;107,8021393;108,4515762;109,7978668;111,353241;110,0574722;106,9744263;108,5171814;;;109,3528976;109,521759;109,7597885;110,2611923;108,3984833;106,9414825;105,1846924;104,7364273;106,2015533;104,0552826;106,3365651
Brunei Darussalam;BRN;;;;87,62837982;89,61379242;87,96115875;89,83838654;91,20548248;92,27243042;94,77448273;97,07427979;100,8906479;101,2349014;101,1191025;102,7776566;103,2811203;103,5095978;107,7187271;105,9098434;98,99694061;95,84609985;93,33837891;91,78446198;92,0042572;91,2721405;89,44432145;91,22751657;91,59011574;93,27255727;
Bhutan;BTN;;;;20,7445507;23,91600037;27,68007088;31,53141975;;;;42,88335037;45,89215851;50,25542068;54,26786041;61,66053009;67,43682861;72,9664917;79,20527649;84,49452209;92,2578125;92,4895401;93,3539505;93,68360138;94,76548411;97,68485202;97,50084175;100,8780478;98,56279161;94,9145002;94,03692913
Botswana;BWA;60,57569885;;;76,14658356;76,33573151;77,47997284;76,10018921;77,10146332;77,88440704;79,57183838;80,36440277;83,57077026;84,52295685;81,07814026;;;;;;;;;;;;;74,06524658;;;
Central African Republic;CAF;;;;;;;7,640590191;;;;;;;;8,727089882;;11,40328979;10,7241497;;;;11,04333973;12,79310036;;;;;;;
Canada;CAN;;;;;;103,0283279;;;;;99,00670624;99,25964355;99,94747162;100,8544693;101,6622772;101,4162674;102,0876007;111,1719589;111,8772888;112,1737366;112,1041412;111,9722824;112,2056503;112,037117;111,3648834;110,5532074;109,4836197;108,3663712;104,4236526;
Central Europe and the Baltics;CEB;;;;;92,06738281;92,15997314;93,61953735;95,17932892;96,39572144;93,87966156;94,54167175;95,79035187;95,32028198;97,68338776;99,45079803;99,8252182;99,77577209;98,84662628;103,6324463;102,5597076;101,608429;100,7132568;100,9396286;100,8364868;100,3569031;102,4134293;101,2588425;99,98023224;99,3405304;99,3405304
Switzerland;CHE;;;;;;91,45439148;92,0951004;90,53198242;90,49619293;90,21334839;91,04302216;91,42520905;92,70127869;93,47151184;94,04885864;95,26133728;95,6100235;96,72071075;99,79402161;;102,2016983;102,2240372;102,1392136;102,2576828;101,9351578;102,0800018;101,6870193;101,5193863;101,3188477;
Channel Islands;CHI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;;;;;;87,88050842;;90,22187805;91,22605133;91,67603302;92,61209869;92,94998932;92,74021149;92,75656128;91,18183899;92,40859985;92,40019226;91,12287903;99,6723938;100,3207169;101,2538834;101,8312302;102,5392227;103,2160721;104,0325394;103,239502;106,1259995;105,1298523;104,6302109;
China;CHN;45,03520966;48,81198883;51,304039;;;;60,58792114;;62,8477211;;;74,59259796;79,02397156;84,11286926;90,39990997;91,530616;93,07789229;93,67767865;;;;;;;;;;;;
Cote d'Ivoire;CIV;;;;;14,59661007;;;;;;;;;;;;;;;34,36256651;37,98206861;40,58727871;43,93379016;46,39471286;49,4831224;51,92656251;54,41098907;52,16684666;63,0947662;64,47850402
Cameroon;CMR;21,24057961;;21,7688694;21,32201004;24,50690079;;29,97676086;22,27199936;28,08536911;24,16308975;24,60763931;21,48513985;29,09907913;33,49182129;37,84455109;;45,50051558;48,77183632;50,42017113;54,14093126;55,54731337;56,47900902;;;;;42,61158841;43,20723116;42,49441978;
Congo, Dem. Rep.;COD;20,6602993;;;;;;;;;;;;23,29892921;25,5026207;26,79319954;26,99785995;28,71958923;28,75097084;29,37793922;31,43996048;32,74386978;;;;;;42,95270157;;;
Congo, Rep.;COG;;41,72462082;;;;;;31,51396942;30,96714973;39,07563019;;;;;;;;46,8735199;;;;;;;;;;;;
Colombia;COL;;;;;;79,09343719;;81,1554718;;86,38829041;90,48802185;94,4033432;97,28814697;98,24336243;102,6752014;104,3650894;105,4418335;101,4080429;102,0723038;101,2459106;101,2322617;101,6749268;102,081871;102,9156113;104,4218063;103,5993423;105,2272568;103,587738;;
Comoros;COM;;;;;27,98267937;;;31,18938065;34,52270889;36,06441116;;;;;;;;;60,104471;63,54847325;;;59,33821742;64,55652534;;;;;;
Cabo Verde;CPV;;;;;;;66,42984772;69,4299469;72,02306366;72,01464081;76,03180695;89,9302597;89,594841;88,20796204;89,87432098;92,7251093;95,58052007;99,62133635;103,9237823;104,6430588;105,4289498;107,3468356;108,5137032;104,0089569;103,5935056;106,0384871;104,7069142;103,5825937;;
Costa Rica;CRI;;;;;;61,5272789;65,61231232;67,38320923;;79,49423981;80,88458252;88,0462265;88,51679993;90,0389328;96,34204865;99,30177307;101,5167923;105,1424713;111,3340378;117,0446472;117,688652;120,7202225;125,0539093;129,9168091;137,0815277;137,8181;146,7925262;138,9204254;130,6020966;
Caribbean small states;CSS;76,50810242;78,34432983;80,15135956;81,65161133;82,8093338;84,13845825;85,41130066;86,25330353;85,50148773;87,18492889;87,01052856;88,05355835;89,02601624;90,32644653;90,51651764;92,37941742;93,7695694;92,66777039;90,95007324;91,10482025;89,83657837;91,52831268;90,49403381;89,59681702;90,38291931;88,21205139;88,11795044;86,88432312;87,52980042;87,17951202
Cuba;CUB;84,57000732;85,44756317;87,4673996;;82,55706787;84,16513062;86,87741852;88,53560638;91,22258759;92,10421753;93,32256317;94,14214325;93,28636932;92,9718399;91,88829041;91,80812431;91,50080089;90,86153145;90,88565366;96,87530589;97,54439447;99,23639897;99,83154364;100,943718;101,620842;102,0914442;99,83427719;104,2431593;96,34813329;92,61435499
Curacao;CUW;;;;;;;;;;;;;;;;;;;90,2323376;;;;;;;139,7178131;;;128,6304604;
Cayman Islands;CYM;;;;;86,17549896;92,09265137;82,93039703;81,33609009;;88,01281738;83,89302826;85,91294098;89,00179291;99,2827301;;;93,38842975;91,09243697;91,11948332;;;;;87,57606491;85,81349182;84,57472229;84,56531846;84,1326828;86,51832461;84,35490784
Cyprus;CYP;;;;;;94,44010925;93,90014648;97,98078156;98,49739075;97,88860321;95,34259796;94,50447845;94,39965057;93,54924011;92,99085236;91,9940033;93,532547;96,18628693;98,5265274;99,45568848;99,40921021;98,42323303;99,53044891;98,96697235;99,23193359;99,83450317;101,5674362;103,5284195;102,0898209;
Czechia;CZE;;;;;;90,18694305;96,00283051;96,58341217;97,26142883;96,10951996;96,78180695;98,08611298;98,22769165;98,65821075;98,49501801;99,01049805;99,56680298;99,93798828;107,3489075;106,4524612;105,3725662;103,5642166;102,7512817;102,0129929;100,9168091;99,90653229;102,61866;103,7158737;98,01950836;
Germany;DEU;;;;;;98,5004425;98,94750977;100,2039795;100,3516388;100,4611282;100,4273605;101,2293777;100,8714218;101,9611435;100,6801682;102,3002014;102,5596924;101,587738;101,2639236;100,5561371;99,43530273;98,58422852;98,17710114;97,60193634;97,68504333;97,89311218;98,05149078;97,70004272;97,67788696;
Djibouti;DJI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominica;DMA;;;;;112,1279602;109,6675034;110,2920303;113,4939117;118,6737976;113,7941437;113,6128769;112,7543335;113,5742493;109,4990768;113,9751587;109,5298996;109,0637512;99,96671105;;89,98378754;92,52114868;;;;103,6941581;103,1905594;101,0989011;100,132103;96,32743073;
Denmark;DNK;;;;;;129,7338409;133,2923584;128,3557434;128,0957947;124,2525177;124,212532;120,0082779;119,7693176;118,8939896;118,3093033;119,5379562;122,8757324;125,3301315;133,1420898;134,7441254;136,1638031;132,7937622;130,848114;129,8619232;128,9059143;129,8516846;131,3647614;129,6841888;126,2586288;
Dominican Republic;DOM;;;;;;65,45462799;;74,30928802;;74,46189117;76,90292358;;87,40220642;85,55322266;85,73625946;82,61351207;82,17548154;82,41104791;83,51204403;84,16164536;83,83230509;83,70062356;83,26634151;83,25450365;85,32441137;83,41565803;79,24218019;80,12460637;79,04837272;80,52453857
Algeria;DZA;56,4274292;56,63301849;58,40866089;;66,39038086;67,32920074;72,14031219;76,09771729;79,94149017;84,55516052;87,19509125;88,94509125;77,93821716;83,46920013;99,03965759;104,4906639;106,7806061;;;;;;;;;;;106,1530228;103,2207184;106,5338078
East Asia & Pacific (excluding high income);EAP;46,57897186;49,80015182;52,22613144;54,41545105;56,29666138;57,45837021;59,620121;60,77782822;62,47135925;65,53614807;67,97840881;71,27118683;75,15876007;78,0776062;82,51355743;83,50617218;85,04332733;85,85801697;86,77326202;86,4382019;86,66892242;86,17649841;86,33744049;87,10041046;88,71871948;89,62404633;90,2519989;91,02410126;91,74140167;91,49794769
Early-demographic dividend;EAR;40,02960968;41,45906067;43,01226044;44,80892181;44,9053688;46,72890854;47,4826088;49,32421112;51,72587967;52,83594894;54,13230896;55,6428299;57,77410126;59,46958923;60,52156067;62,78892899;64,59217072;66,4391098;67,96826172;71,21051788;71,94402313;73,30056;72,90862274;74,06104279;74,49645996;75,27262878;76,08622742;77,30458832;77,28031158;77,44641113
East Asia & Pacific;EAS;51,97055817;54,82709122;56,58615112;58,65705872;60,10337067;60,94570923;62,86225128;63,82304001;65,30648804;68,16268158;70,50250244;73,62563324;77,32279968;80,1002121;84,32235718;85,26315308;86,71259308;87,52606201;88,35745239;88,06310272;88,28333282;87,76686096;87,91111755;88,48123932;90,05563354;90,8184967;91,37203217;92,06202698;92,70777893;92,47028351
Europe & Central Asia (excluding high income);ECA;;;;;80,29514313;81,79931641;85,02184296;87,01415253;88,71417999;88,38040161;86,33541107;88,64341736;89,98039246;89,93756866;87,58699036;88,91773224;89,61885071;90,10935211;96,76802063;98,42812347;98,3324585;98,63674927;99,51056671;99,7525177;99,33587646;97,7252121;97,60584259;98,35140228;98,64021301;100,1453171
Europe & Central Asia;ECS;;;;;93,29688263;94,38391876;95,93965912;96,88968658;97,44312286;95,35012054;95,10804749;95,68470001;96,15261841;96,82906342;96,68953705;98,29136658;98,4919281;98,24507141;104,1770477;104,5602722;104,2933273;104,0691681;104,5893173;104,5737381;104,2590408;102,877739;102,7608719;102,9491501;102,5249023;103,0483322
Ecuador;ECU;;;;;;56,55070114;56,95476913;57,5130806;57,35643005;57,50793839;60,19829941;62,41899109;63,82030106;;88,06681824;93,41680908;97,65522003;100,7984238;102,6651535;104,5733566;102,6325531;99,46375987;97,47456557;96,39607142;95,28924793;96,04920959;95,88180691;95,62035037;94,18275834;
Egypt, Arab Rep.;EGY;63,98675156;61,94300079;65,60674286;;73,10133362;75,25166321;77,10417938;;76,39585876;75,93717194;;;;;63,26903152;64,12328339;72,40071869;72,63500977;73,21822368;73,20014484;;74,78826194;75,30948216;75,90671036;76,91129861;78,41189105;80,34919276;;83,04652207;83,92168144
Euro area;EMU;;;;;103,5285873;103,4158936;104,7263718;105,0371628;105,2210388;104,3334885;106,0270386;106,4045715;106,5368805;107,1297073;106,9075775;108,3963928;108,9770813;107,8057098;108,6071472;107,9282913;107,7146225;107,1628113;107,241127;107,5652695;107,4147186;108,2119675;108,3438492;108,5418396;108,2088013;108,2088013
Eritrea;ERI;23,1669693;24,36677933;26,86348915;;32,80651855;37,13475037;38,00597;36,53665161;37,10610962;34,21017838;38,35575104;39,93470001;41,53992844;42,73608017;43,07038879;44,53704071;45,42272949;46,28577042;45,1413002;45,03377914;41,94557953;;42,02576828;43,44168854;;;;40,27608109;;
Spain;ESP;;;;;;116,8671722;118,565773;119,0349884;117,7013931;118,7780838;121,2735825;121,0054092;121,4236832;120,799942;120,1361465;124,0764771;127,101059;128,535965;127,3604431;125,8475494;124,9461823;123,8119125;121,6958466;120,827652;120,4506683;119,3227081;121,4949722;121,7202911;120,5719833;
Estonia;EST;;;;;;98,15338135;98,54682159;101,2182236;101,9253769;103,80896;106,1023407;106,2385788;107,0767517;107,321167;108,6234512;110,6684189;111,4140396;111,9092865;109,7928009;107,7612534;108,5225525;112,3354492;114,6328812;114,2723312;114,59021;115,0867462;115,2175903;114,7881012;110,6609802;
Ethiopia;ETH;9,356060028;9,641209602;;;10,90133953;11,78155041;14,05228043;14,99596024;14,52038002;15,90849018;18,1193409;21,54014015;24,61819077;26,68442917;27,98707008;30,16124916;32,43626022;34,51931;;;33,3210266;;;;;;;;;
European Union;EUU;;;;;101,9236832;101,8152924;103,1500931;103,7082291;104,0164566;101,8103027;103,165329;103,8020172;103,7972336;104,9807129;105,3846512;106,6562195;107,1690598;106,1371307;108,6458588;107,9795532;107,7104034;107,0086823;107,1649475;107,3853912;107,081871;108,0424271;107,9738693;107,8355331;107,2768478;107,2768631
Fragile and conflict affected situations;FCS;28,02972031;27,99165916;28,01449966;28,27355003;28,32901955;28,91456985;29,65674973;30,24773026;31,6787796;32,58565903;32,99259186;33,67649841;33,67776871;35,5161705;37,06229019;38,79317856;39,69422913;41,12924957;42,69441986;40,79011154;41,41059875;40,93918991;41,70203018;42,3339386;42,99539185;43,71593094;44,25862885;44,58805847;44,59178925;44,41603851
Finland;FIN;;;;;;131,1811829;134,6630554;136,1790009;138,7435913;113,4236832;113,8306274;112,6103821;111,4858627;110,8814468;110,3530197;111,1967163;111,7331924;112,4737625;152,2135468;154,4115753;157,9903107;159,6916351;161,3395538;161,8475952;151,4230957;149,881485;150,9881134;153,2410736;151,3674469;
Fiji;FJI;;;;78,38887024;79,04373932;77,96575928;76,33415222;78,04753876;79,54379272;82,25710297;;82,59513855;82,79225922;81,26735687;82,21333313;;86,26174927;85,21209717;;89,43995493;89,40526718;90,79462737;;93,18926468;94,1516927;93,3745575;94,61740042;96,14070387;99,17098981;99,16159846
France;FRA;;;;;;105,5658569;104,6554108;103,3805389;103,2312698;102,5028229;106,99189;106,9261398;106,7902908;106,6188202;106,4543762;106,9646301;107,0882797;106,1175308;104,9960175;104,2235565;103,9410934;103,7419586;104,1591873;104,0711288;104,1704178;104,6579971;104,6481628;104,6336594;104,3955612;
Faroe Islands;FRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Micronesia, Fed. Sts.;FSM;;;;;;;;;;85,83712769;88,07964325;;;;;;;;;;;;;;;;;;;
Gabon;GAB;35,10776901;43,17300034;42,95259094;;41,15002823;;;;;;;;;;;;;;;;;;;;72,05106294;;;;;
United Kingdom;GBR;;;;;;101,9464798;101,883728;103,4481201;103,6519928;105,8418427;106,5563126;99,36444092;98,54827118;99,53283691;101,1066513;103,6916504;94,7179718;92,72399902;128,9394226;131,2891846;127,9374695;;127,6413269;121,9164734;118,8857422;116,5139999;115,8200378;115,1218109;113,9076538;
Georgia;GEO;73,29374695;76,15661621;76,60050964;;78,67285156;80,08174133;82,95871735;85,50440979;89,10054016;86,48539734;91,16002655;96,56124115;;107,2120132;;;;;104,8844439;103,984073;104,7036741;105,3407073;106,8437811;109,2278037;109,1820464;105,5788577;103,4287932;100,530265;99,84756098;97,82803781
Ghana;GHA;27,66217041;;;;28,67111015;28,9962101;27,98418999;29,34233093;30,67790985;32,58877182;34,37791061;36,23361969;40,49776077;42,83818817;44,45207977;;52,09603882;53,12413477;64,30197906;61,25727441;64,53078068;65,37839207;64,96475093;66,91668942;70,2943847;73,27580306;75,63775709;77,9574778;;
Gibraltar;GIB;;;;;93,65994263;103,3576584;111,9117584;;;;;;;110,8938522;109,2307663;;;;;;;131,3548387;130,6942753;;98,7607193;98,17517853;97,80420685;70,13546753;75,0780762;80,26152039
Guinea;GIN;;7,084350109;;;7,337989807;;10,44264984;12,33545971;14,11112976;15,30696964;19,31241989;22,19618034;;24,36071968;;;28,50259972;;;30,60220909;;;;;;;;;;
Gambia, The;GMB;14,65001011;15,51795959;;;;;;;;;;;;43,85995102;45,42192841;44,59125137;;;;;;;;;;;116,3727666;;;
Guinea-Bissau;GNB;;;;;;12,78374958;;;;;;;;;;;;;;;;;;;;;;;;
Equatorial Guinea;GNQ;;;;;12,16705036;13,40114021;;13,61108971;;;15,32684994;;;;;;;;;;;;;;;;;;;
Greece;GRC;;;;;;93,11443329;103,3836975;99,01355743;94,57048035;92,25588989;95,03282928;94,90605927;92,76038361;;;104,3879013;103,3467484;103,8703766;105,1287079;100,4584885;99,85907745;100,7933197;101,8635101;102,07267;104,7805328;102,6244202;103,4547424;104,8636932;104,0252304;
Grenada;GRD;;;;;;;;117,9673004;113,4987488;112,4679871;104,4308014;;117,0718307;113,5218277;110,4149933;121,2712402;113,7348354;;107,1742958;107,4224938;105,2643785;107,6777251;106,9115515;111,9674957;;105,3872054;102,901308;;;101,7052091
Greenland;GRL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guatemala;GTM;;24,36005974;;24,54005051;25,20220947;29,37318993;31,37501907;33,85750961;;37,10551071;39,14360809;41,12046051;43,01456833;44,20824814;47,05509949;50,51126541;50,79628216;51,20242957;51,32576656;51,21911751;52,86642749;52,54017574;52,26521337;52,34462987;51,0635988;50,80731271;48,14729175;46,8427647;48,24796573;50,48216093
Guam;GUM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guyana;GUY;;;;;82,3628006;;95,86992645;;;;86,84462738;;83,92292786;87,45166779;90,46511078;95,49204254;103,0027237;103,8910828;;;;;;;;90,35414124;89,73336029;;84,25351715;91,99572535
High income;HIC;;;;;98,94181061;99,30232239;99,73021698;99,96720123;100,2446213;98,87962341;99,11431122;98,77702332;98,84934998;99,38578033;100,5404205;101,3244705;101,3515472;101,2919769;104,2524719;104,5918198;104,6977386;104,5052185;104,8424072;104,6762009;104,7917786;103,9706116;104,4769287;104,0968399;103,020813;103,079361
Hong Kong SAR, China;HKG;;;;;;;78,50875854;79,80236053;80,37693787;81,79055786;83,00646973;82,92672729;84,15927887;85,92687988;86,80641174;87,71301565;86,52900147;107,6460905;101,1808973;103,5786164;105,4131905;105,6148325;104,08717;105,3822222;102,312146;97,67444644;97,53042959;103,838896;;105,6438802
Honduras;HND;;;;;;;;;;;;64,32611084;66,72608185;67,08548737;;73,36930084;72,80452728;71,19917297;68,2308197;53,69110435;55,12165195;55,25233106;54,76235962;;68,41641235;62,34655965;60,21244531;59,20985031;59,44067001;56,20560633
Heavily indebted poor countries (HIPC);HPC;15,44962025;15,54784966;15,68645;16,29855919;16,93707085;17,4969902;18,5031395;19,33742905;20,30942917;21,31814003;22,6604805;24,02219009;25,53676033;27,40045929;29,03511047;30,91431046;32,54103851;33,89875031;35,08385086;35,77310181;36,32519913;36,80965042;37,32476044;37,91727066;38,45063019;38,8707695;39,19581985;39,27243042;39,51259995;
Croatia;HRV;;;;;;;95,79225922;95,93843079;96,32254028;;100,7966995;100,7216873;100,7332001;100,7555008;100,7855988;102,2894592;101,1062775;101,0834122;103,1400299;103,976387;104,9077682;105,4865875;106,2827682;107,2531509;107,9402466;108,6698914;108,8768997;108,4960175;108,5460968;
Haiti;HTI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hungary;HUN;;;;;;96,53108215;98,69132996;99,99617767;101,8363571;95,52877808;96,9495697;97,42314148;97,6521225;97,6947937;99,21125793;101,266922;102,0062485;100,3451767;107,4466934;106,2164688;104,8798294;103,5838013;104,3329468;103,5158615;102,3858871;101,7242126;99,56378937;102,54245;104,9165497;
IBRD only;IBD;51,07057953;53,03387833;54,83166122;56,91785049;57,59283829;59,11214828;60,16674042;62,33612061;63,95426941;65,69426727;67,4487915;69,00723267;71,65310669;74,07937622;75,99653625;77,75920868;79,28891754;80,54273224;82,61546326;84,59671783;84,41346741;84,90502167;84,42394257;85,29132843;85,97444916;86,68534088;87,818367;88,88263702;88,59069061;88,50634003
